area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,,1920,4.0,2.0,121.0
Plot  Area,18-Aug,Hulimavu,4 Bedroom,ValleCi,1500,4.0,3.0,192.0
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,1.0,55.0
Plot  Area,Ready To Move,Kodigehalli,2 Bedroom,,500,1.0,0.0,55.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,74.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1202,2.0,1.0,79.0
Super built-up  Area,18-May,Mico Layout,3 BHK,,1250,2.0,2.0,44.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,ShdhiSa,1200,2.0,2.0,79.55
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,3100,4.0,2.0,350.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,65.1
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1235,2.0,1.0,52.04
Super built-up  Area,18-May,Ramagondanahalli,3 BHK,ViistLa,1475,2.0,2.0,63.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1520,2.0,3.0,81.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.55
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1920,3.0,2.0,134.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,J axyGa,1300,2.0,2.0,75.0
Built-up  Area,Ready To Move,Rayasandra,5 BHK,,3600,5.0,3.0,145.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.4
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,VDenaWa,2800,3.0,2.0,250.0
Super built-up  Area,18-Apr,Sai Gardens,2 BHK,,1120,2.0,2.0,40.0
Built-up  Area,Ready To Move,Mallappa Layout,3 BHK,Keort F,1500,3.0,2.0,75.0
Super built-up  Area,18-May,Dominic Layout,3 BHK,,1115,3.0,1.0,39.14
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,GeereEc,1363,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1175,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1710,3.0,2.0,110.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,,2100,3.0,0.0,210.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1340,2.0,2.0,53.6
Plot  Area,Ready To Move,kg halli jalhalli west,3 Bedroom,,980,3.0,1.0,80.0
Built-up  Area,Ready To Move,Pattanagere,2 BHK,,850,2.0,0.0,35.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1354,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1274,2.0,2.0,48.42
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,CMard B,1005,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,3 BHK,,1355,2.0,3.0,58.25
Super built-up  Area,17-Mar,Varthur,2 BHK,Uptusol,1385,2.0,3.0,80.0
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,1125,2.0,1.0,46.0
Super built-up  Area,Ready To Move,Seegehalli,2 BHK,Sriferi,1176,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,40.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1195,2.0,1.0,35.84
Plot  Area,Ready To Move,Karuna Nagar,3 Bedroom,CoinoCu,2500,3.0,2.0,190.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
Built-up  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,,2800,5.0,3.0,130.0
Plot  Area,Ready To Move,Moodalapalya,1 Bedroom,,410,1.0,1.0,48.0
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,,1200,2.0,3.0,120.0
Built-up  Area,Ready To Move,Nagavara,2 BHK,,936,2.0,0.0,40.2
Super built-up  Area,Ready To Move,Singasandra,3 BHK,,1464,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1075,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,,1225,2.0,1.0,47.0
