movie_id,budget,revenue,unit,currency
101,1,12.5,Billions,INR
102,200,954.8,Millions,USD
103,165,644.8,Millions,USD
104,180,854,Millions,USD
105,250,670,Millions,USD
107,400,2000,Millions,INR
108,550,4000,Millions,INR
109,390,1360,Millions,INR
110,1.4,3.5,Billions,INR
111,25,73.3,Millions,USD
113,165,701.8,Millions,USD
114,205,365.3,Millions,USD
115,55,307.1,Millions,USD
116,103,460.5,Millions,USD
117,200,2202,Millions,USD
118,3.18,3.3,Millions,USD
119,237,2847,Millions,USD
120,7.2,291,Millions,USD
121,185,1006,Millions,USD
122,22,322.2,Millions,USD
123,63,1046,Millions,USD
124,15.5,263.1,Millions,USD
125,400,2798,Millions,USD
126,400,2048,Millions,USD
127,70000,100000,Thousands,INR
128,120,1350,Millions,INR
129,100,410,Millions,INR
130,850,8540,Millions,INR
131,1,5.9,Billions,INR
132,2,3.6,Billions,INR
133,5.5,12,Billions,INR
134,1.8,6.5,Billions,INR
135,250,3409,Millions,INR
136,900,11690,Millions,INR
137,216.7,370.6,Millions,USD
138,177,714.4,Millions,USD
139,1.8,3.1,Billions,INR
140,500,950,Millions,INR
406,30,350,Millions,INR
412,160,836.8,Millions,USD
